timestamp,scenario,origin_pods,cache_pods,origin_cpu_mcores,cache_cpu_mcores,origin_mem_MiB,cache_mem_MiB,throughput_rps,cache_hit_ratio,current_replicas
2025-12-28T22:34:04.232344,S3,1,2,0.0,47.0,4.0,20.0,0.0,0.0,3
2025-12-28T22:34:14.590283,S3,1,3,0.0,47.0,4.0,20.0,0.0,0.0,4
2025-12-28T22:34:24.995969,S3,1,3,0.0,47.0,4.0,20.0,0.0,0.0,4
2025-12-28T22:34:35.351062,S3,1,3,0.0,47.0,4.0,20.0,0.0,0.0,4
2025-12-28T22:34:45.706501,S3,1,3,0.0,47.0,4.0,20.0,0.0,0.0,4
2025-12-28T22:34:56.089843,S3,1,3,0.0,47.0,4.0,20.0,0.0,0.0,4
2025-12-28T22:35:06.458836,S3,1,3,1.0,51.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:35:16.813440,S3,1,3,1.0,51.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:35:27.167844,S3,1,3,1.0,51.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:35:37.534372,S3,1,3,1.0,51.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:35:47.911598,S3,1,3,1.0,51.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:35:58.277757,S3,1,3,1.0,51.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:36:08.650134,S3,1,3,1.0,52.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:36:19.021616,S3,1,3,1.0,52.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:36:29.414187,S3,1,3,1.0,52.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:36:39.772169,S3,1,3,1.0,52.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:36:50.152636,S3,1,3,1.0,52.0,4.0,22.0,0.0,0.0,4
2025-12-28T22:37:00.515708,S3,1,3,1.0,51.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:37:10.898284,S3,1,3,1.0,51.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:37:21.282773,S3,1,3,1.0,51.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:37:31.662857,S3,1,3,1.0,51.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:37:42.034450,S3,1,3,1.0,51.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:37:52.432156,S3,1,3,1.0,51.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:38:02.790067,S3,1,3,1.0,53.0,4.0,24.0,0.0,0.0,4
2025-12-28T22:38:13.146760,S3,1,3,1.0,53.0,4.0,24.0,0.0,0.0,4
2025-12-28T22:38:23.540211,S3,1,3,1.0,53.0,4.0,24.0,0.0,0.0,4
2025-12-28T22:38:33.913599,S3,1,3,1.0,53.0,4.0,24.0,0.0,0.0,4
2025-12-28T22:38:44.290120,S3,1,3,1.0,53.0,4.0,24.0,0.0,0.0,4
2025-12-28T22:38:54.662108,S3,1,3,1.0,53.0,4.0,24.0,0.0,0.0,4
2025-12-28T22:39:05.034329,S3,1,3,1.0,50.0,4.0,30.0,0.0,0.0,4
2025-12-28T22:39:15.400243,S3,1,3,1.0,50.0,4.0,30.0,0.0,0.0,4
2025-12-28T22:39:25.771724,S3,1,3,1.0,50.0,4.0,30.0,0.0,0.0,4
2025-12-28T22:39:36.238999,S3,1,3,1.0,50.0,4.0,30.0,0.0,0.0,4
2025-12-28T22:39:46.619592,S3,1,3,1.0,50.0,4.0,30.0,0.0,0.0,4
2025-12-28T22:39:57.000216,S3,1,3,1.0,50.0,4.0,30.0,0.0,0.0,4
2025-12-28T22:40:07.362030,S3,1,3,1.0,56.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:40:17.748038,S3,1,3,1.0,56.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:40:28.094901,S3,1,3,1.0,56.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:40:38.480520,S3,1,3,1.0,56.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:40:48.868814,S3,1,3,1.0,56.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:40:59.285841,S3,1,3,1.0,56.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:41:09.694291,S3,1,3,1.0,58.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:41:20.047203,S3,1,3,1.0,58.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:41:30.446824,S3,1,3,1.0,58.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:41:40.814070,S3,1,3,1.0,58.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:41:51.187102,S3,1,3,1.0,58.0,4.0,26.0,0.0,0.0,4
2025-12-28T22:42:01.578623,S3,1,3,1.0,62.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:42:11.957816,S3,1,3,1.0,62.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:42:22.342936,S3,1,3,1.0,62.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:42:32.743573,S3,1,3,1.0,62.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:42:43.171079,S3,1,3,1.0,62.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:42:53.592596,S3,1,3,1.0,62.0,4.0,27.0,0.0,0.0,4
2025-12-28T22:43:04.002698,S3,1,3,0.0,64.0,4.0,25.0,0.0,0.0,4
2025-12-28T22:43:14.386740,S3,1,3,0.0,64.0,4.0,25.0,0.0,0.0,4
2025-12-28T22:43:24.791399,S3,1,3,0.0,64.0,4.0,25.0,0.0,0.0,4
2025-12-28T22:43:35.189669,S3,1,3,0.0,64.0,4.0,25.0,0.0,0.0,4
2025-12-28T22:43:45.552242,S3,1,3,0.0,64.0,4.0,25.0,0.0,0.0,4
2025-12-28T22:43:55.966779,S3,1,3,0.0,64.0,4.0,25.0,0.0,0.0,4
